rank,iso6393,iso6391,languageLabel,defaultScript,defaultScriptName,orthographyId,orthographyScriptCode,orthographyScriptName,orthographyPriority,orthographySource,reviewStatus,verificationStatus
216,inh,,Ingush,Cyrl,Cyrillic,inh-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
217,orm,om,Oromo,Latn,Latin,orm-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
217,orm,om,Oromo,Latn,Latin,orm-ethi,Ethi,Ethiopic,secondary,wikidata-writing-system,needs-review,needs-review
218,ban,,Balinese,Latn,Latin,ban-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
218,ban,,Balinese,Latn,Latin,ban-bali,Bali,Balinese,secondary,wikidata-writing-system,needs-review,needs-review
219,fij,fj,Fijian,Latn,Latin,fij-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
219,fij,fj,Fijian,Latn,Latin,fij-deva,Deva,Devanagari,secondary,wikidata-writing-system,needs-review,needs-review
220,chm,,Mari,Cyrl,Cyrillic,chm-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
221,mdf,,Moksha,Cyrl,Cyrillic,mdf-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
222,sna,sn,Shona,Latn,Latin,sna-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
223,lij,,Ligurian,Latn,Latin,lij-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
224,min,,Minangkabau,Latn,Latin,min-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
225,sat,,Santali,Olck,Ol Chiki,sat-olck,Olck,Ol Chiki,primary,cldr-default+wikidata,needs-review,needs-review
225,sat,,Santali,Olck,Ol Chiki,sat-beng,Beng,Bangla,secondary,wikidata-writing-system,needs-review,needs-review
225,sat,,Santali,Olck,Ol Chiki,sat-deva,Deva,Devanagari,secondary,wikidata-writing-system,needs-review,verified-by-wikidata
225,sat,,Santali,Olck,Ol Chiki,sat-latn,Latn,Latin,secondary,wikidata-writing-system,needs-review,needs-review
225,sat,,Santali,Olck,Ol Chiki,sat-orya,Orya,Odia,secondary,wikidata-writing-system,needs-review,verified-by-wikidata
226,abq,,Abaza,Cyrl,Cyrillic,abq-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
227,ewe,ee,Ewe,Latn,Latin,ewe-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
228,bis,bi,Bislama,Latn,Latin,bis-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
229,kbd,,Kabardian,Cyrl,Cyrillic,kbd-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
229,kbd,,Kabardian,Cyrl,Cyrillic,kbd-arab,Arab,Arabic,secondary,wikidata-writing-system,needs-review,needs-review
229,kbd,,Kabardian,Cyrl,Cyrillic,kbd-latn,Latn,Latin,secondary,wikidata-writing-system,needs-review,needs-review
230,nrf,,Norman,Latn,Latin,nrf-latn,Latn,Latin,primary,cldr-default,needs-review,needs-review
231,fry,fy,West Frisian,Latn,Latin,fry-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
232,arz,,Egyptian Arabic,Arab,Arabic,arz-arab,Arab,Arabic,primary,cldr-default+wikidata,needs-review,needs-review
233,vro,,Võro,Latn,Latin,vro-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
234,ilo,,Ilocano,Latn,Latin,ilo-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
234,ilo,,Ilocano,Latn,Latin,ilo-tglg,Tglg,Tagalog,secondary,wikidata-writing-system,needs-review,verified-by-wikidata
235,lin,ln,Lingala,Latn,Latin,lin-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
236,jbo,,Lojban,Latn,Latin,jbo-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
237,mwl,,Mirandese,Latn,Latin,mwl-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
238,frp,,Arpitan language,Latn,Latin,frp-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
239,tso,ts,Tsonga,Latn,Latin,tso-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
240,xal,,Kalmyk,Cyrl,Cyrillic,xal-cyrl,Cyrl,Cyrillic,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
241,ett,,Etruscan,Ital,Old Italic,ett-ital,Ital,Old Italic,primary,cldr-default,needs-review,needs-review
242,tah,ty,Tahitian,Latn,Latin,tah-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
243,ven,ve,Venda,Latn,Latin,ven-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
244,tcy,,Tulu,Knda,Kannada,tcy-knda,Knda,Kannada,primary,cldr-default+wikidata,needs-review,verified-by-wikidata
244,tcy,,Tulu,Knda,Kannada,tcy-mlym,Mlym,Malayalam,secondary,wikidata-writing-system,needs-review,needs-review
244,tcy,,Tulu,Knda,Kannada,tcy-tutg,Tutg,Tulu-Tigalari,secondary,wikidata-writing-system,needs-review,needs-review
245,cha,ch,Chamorro,Latn,Latin,cha-latn,Latn,Latin,primary,cldr-default+wikidata,needs-review,needs-review
246,hak,,Hakka Chinese,Hans,Simplified,hak-hans,Hans,Simplified,primary,cldr-default,needs-review,needs-review
