rank,iso6393,iso6391,glottocode,qid,languageLabel,sitelinks,defaultScript,defaultScriptName,orthographyId,orthographyLabelEn,orthographyScriptCode,orthographyScriptName,orthographyPriority,orthographySource,reviewStatus,seedKind,verificationStatus,languageWikipediaUrl,scriptWikipediaUrl,evidenceSources
26,ron,ro,roma1327,Q7913,Romanian,209,Latn,Latin,ron-latn,Romanian (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,https://en.wikipedia.org/wiki/Romanian_language,,
26,ron,ro,roma1327,Q7913,Romanian,209,Latn,Latin,ron-cyrl,Romanian (Cyrillic),Cyrl,Cyrillic,secondary,omniglot-langalph+wws,needs-review,script-derived,pending-manual-review,https://en.wikipedia.org/wiki/Romanian_language,https://en.wikipedia.org/wiki/Cyrillic_script,omniglot-langalph|worldswritingsystems
27,swa,sw,swah1254,Q7838,Swahili,207,Latn,Latin,swa-latn,Swahili (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
28,hun,hu,hung1274,Q9067,Hungarian,206,Latn,Latin,hun-latn,Hungarian (Latin),Latn,Latin,primary,cldr-default,needs-review,script-derived,needs-review,,,
28,hun,hu,hung1274,Q9067,Hungarian,206,Latn,Latin,hun-hung,Hungarian (Old Hungarian),Hung,Old Hungarian,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
29,syl,,sylh1242,Q2044560,Sylheti,200,Beng,Bangla,syl-beng,Sylheti (Bangla),Beng,Bangla,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
29,syl,,sylh1242,Q2044560,Sylheti,200,Beng,Bangla,syl-deva,Sylheti (Devanagari),Deva,Devanagari,secondary,wikidata-writing-system,needs-review,script-derived,verified-by-wikidata,,https://en.wikipedia.org/wiki/Devanagari,omniglot-langalph|worldswritingsystems|wikidata-p282
29,syl,,sylh1242,Q2044560,Sylheti,200,Beng,Bangla,syl-latn,Sylheti (Latin),Latn,Latin,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
29,syl,,sylh1242,Q2044560,Sylheti,200,Beng,Bangla,syl-sylo,Sylheti (Syloti Nagri),Sylo,Syloti Nagri,secondary,wikidata-writing-system,needs-review,script-derived,needs-review,,,
30,hrv,hr,croa1245,Q6654,Croatian,200,Latn,Latin,hrv-latn,Croatian (Latin),Latn,Latin,primary,cldr-default,needs-review,script-derived,needs-review,,,
31,nor,no,norw1258,Q9043,Norwegian,199,Latn,Latin,nor-latn,Norwegian (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,,,
32,ben,bn,beng1280,Q9610,Bangla,199,Beng,Bangla,ben-beng,Bangla (Bangla),Beng,Bangla,primary,cldr-default,needs-review,script-derived,needs-review,,,
33,aze,az,azer1255,Q9292,Azerbaijani,196,Latn,Latin,aze-latn,Azerbaijani (Latin),Latn,Latin,primary,cldr-default+wikidata,needs-review,script-derived,needs-review,https://en.wikipedia.org/wiki/Azerbaijani_language,,
